Job_ID,Job,Location,Company name,Work Type,Job Type,Salary,Experience,no_of_application,Company Size,Skills
3474349934,Data Analyst,Bangalore,Uplers,Remote,Full Time,1200000,Mid Senior Level,200,Medium (501-5000),"Power BI, EDA, Snowflake, SQL, Tableau"
3472816027,Data Analyst,Gurugram,PVAR SERVICES,On-site,Full Time,1500000,Mid Senior Level,200,Small (1-500),"Machine Learning, Snowflake, SQL, Python, Tableau"
3473311511,Data Analyst,Mohali,Timeline Freight Brokers,On-site,Full Time,600000,Entry Level,8,Small (1-500),"Excel, Google Sheets, SQL, Tableau, Power BI"
3472504479,Data Analyst,Gurugram,airtel,On-site,Full Time,1200000,Entry Level,200,Large (5000+),"Data Cleaning, Excel, Python, Tableau, SQL"
3463744088,Data Analyst,Bangalore,Decathlon Sports India,Hybrid,Full Time,700000,Mid Senior Level,200,Medium (501-5000),"Python, Machine Learning, Looker, SQL, Power BI"
3468028509,Data Analyst,Gurugram,Virtusa,Hybrid,Full Time,1000000,Mid Senior Level,200,Large (5000+),"Snowflake, Machine Learning, Python, Data Modeling, Looker"
3473479523,Data Analyst,India,Multplyr,Remote,Full Time,1400000,Mid Senior Level,200,Small (1-500),"Machine Learning, EDA, Power BI, SQL, Python"
3410496892,Data Analyst,Bangalore,Epsilon India,On-site,Full Time,900000,Entry Level,,Medium (501-5000),"SQL, Excel, Data Cleaning, Google Sheets, Python"
3472508072,Data Analyst,Bangalore,Client of VAST Consulting,Hybrid,Full Time,1300000,Mid Senior Level,,,"Data Modeling, Snowflake, Power BI, EDA, SQL"
3474349934,Data Analyst,Bangalore,Uplers,Remote,Full Time,500000,Mid Senior Level,200,Medium (501-5000),"Looker, Python, Snowflake, EDA, Power BI"
3472504479,Data Analyst,Gurugram,airtel,On-site,Full Time,300000,Entry Level,200,Large (5000+),"Google Sheets, Tableau, SQL, Data Cleaning, Excel"
3472847494,Data Analyst,Mumbai,Pine Labs,On-site,Full Time,500000,Mid Senior Level,200,Medium (501-5000),"Machine Learning, EDA, Looker, Data Modeling, Python"
3467362043,Data Analyst,India,Hyqoo,Remote,Full Time,600000,Entry Level,200,Small (1-500),"Power BI, Google Sheets, Data Cleaning, Python, Tableau"
3467344403,Data Analyst,Mumbai,UST,On-site,Full Time,1300000,Mid Senior Level,200,Large (5000+),"Tableau, Snowflake, Python, SQL, Machine Learning"
3467872340,Data Analyst,India,"Surya Systems, Inc",Remote,Contract,1300000,Mid Senior Level,79,Small (1-500),"Machine Learning, SQL, Tableau, Data Modeling, Looker"
3472508072,Data Analyst,Bangalore,Client of VAST Consulting,Hybrid,Full Time,1300000, ,17,,"Machine Learning, Power BI, Advanced Analytics, EDA, Looker"
3474349934,Data Analyst,Bangalore,Uplers,Remote,Full Time,900000,Mid Senior Level,200,Medium (501-5000),"Python, Power BI, EDA, Looker, Snowflake"
3473572189,Data Analyst,Ghaziabad,Uplers,Remote,Full Time,300000,Mid Senior Level,102,Medium (501-5000),"Looker, Power BI, Python, Machine Learning, Tableau"
3472504479,Data Analyst,Gurugram,airtel,On-site,Full Time,1000000,Entry Level,200,Large (5000+),"Excel, Data Cleaning, Tableau, Power BI, Google Sheets"
3473973746,Data Analyst,Hyderabad,Overseas IT Services,On-site,Full Time,600000,Mid Senior Level,1,Small (1-500),"Data Modeling, Machine Learning, Looker, Tableau, Power BI"
3465497810,Data Analyst,Noida,Appinventiv,On-site,Full Time,1000000,Entry Level,200,Medium (501-5000),"Google Sheets, Tableau, Data Cleaning, Excel, Power BI"
3472847494,Data Analyst,Mumbai,Pine Labs,On-site,Full Time,1400000,Mid Senior Level,200,Medium (501-5000),"Looker, Tableau, Power BI, Data Modeling, Python"
3467362043,Data Analyst,India,Hyqoo,Remote,Full Time,1000000,Entry Level,200,Small (1-500),"Tableau, SQL, Excel, Power BI, Google Sheets"
3467344403,Data Analyst,Mumbai,UST,On-site,Full Time,600000,Mid Senior Level,200,Large (5000+),"Machine Learning, SQL, EDA, Data Modeling, Snowflake"
3467872340,Data Analyst,India,"Surya Systems, Inc",Remote,Contract,700000,Mid Senior Level,90,Small (1-500),"Power BI, Machine Learning, Tableau, Data Modeling, EDA"
